display,tooltips,purity,complexity,cost,processing,steps,viewBox,recipeIndexes,id
Infinity Shovel Head,,1,284433258801.3511,284189916547.04004,243342254.31104228,1506,1440 6528,48311 48310,"tconstruct:shovel_head:0:{Material:""infinity_metal""}"
Infinity Kama Head,,1,284433258801.3511,284189916547.04004,243342254.31104228,1506,3520 5824,48315 48314,"tconstruct:kama_head:0:{Material:""infinity_metal""}"
Infinity Axe Head,,1,284433258801.3511,284189916547.04004,243342254.31104228,1506,2464 5120,48313 48312,"tconstruct:axe_head:0:{Material:""infinity_metal""}"
Infinity Sword Blade,,1,284433258801.3511,284189916547.04004,243342254.31104228,1506,3584 6624,48331 48330,"tconstruct:sword_blade:0:{Material:""infinity_metal""}"
Infinity Sharpening Kit,,1,284433258801.3511,284189916547.04004,243342254.31104228,1506,800 6400,48301 48300,"tconstruct:sharpening_kit:0:{Material:""infinity_metal""}"
Infinity Arrow Head,,1,284433258801.3511,284189916547.04004,243342254.31104228,1506,4608 5088,48347 48346,"tconstruct:arrow_head:0:{Material:""infinity_metal""}"
Infinity Polishing Kit,,1,284433258801.3511,284189916547.04004,243342254.31104228,1506,1664 1792,48363 48362,"conarm:polishing_kit:0:{Material:""infinity_metal""}"
Infinity Pickaxe Head,,1,284433258799.3511,284189916547.04004,243342252.31104228,1504,6304 6144,48307 48306,"tconstruct:pick_head:0:{Material:""infinity_metal""}"
Infinity Helmet,,1,280520580565.1491,280254559321.386,266021243.76310167,1514,7296 864,22794,avaritia:infinity_helmet:0
Planet Eater,,1,280283116471.6174,280017095226.85425,266021244.76310167,1515,7456 864,22801,avaritia:infinity_shovel:0
Infinity Leggings,,1,249409402024.05942,249143380780.29633,266021243.76310167,1514,7360 864,22796,avaritia:infinity_pants:0
Sword of the Cosmos,,1,233737568886.86325,233471547642.10016,266021244.76310167,1515,7488 864,22798,avaritia:infinity_sword:0
Hoe of the Green Earth,,1,233615904983.36377,233349883739.60068,266021243.76310167,1514,7328 864,22803,avaritia:infinity_hoe:0
Nonuple Compressed Nether Gravel,,1,164768293672.33636,164768242173.89578,51498.44057612881,46,288 64,93868 93869,additionalcompression:gravelnether_compressed:8
Infinity Boots,§9+§o§fS§fA§9N§fI§fC§r§9% Speed,1,155838872987.43634,155572851743.67325,266021243.76310167,1514,7200 864,22797,avaritia:infinity_boots:0
Longbow of the Heavens,,1,155838558924.1074,155572527679.3443,266031244.76310167,1515,7232 864,22799,avaritia:infinity_bow:0
Nature's Ruin,,1,155837219172.9412,155571197929.1781,266021243.76310167,1514,7168 864,22802,avaritia:infinity_axe:0
Infinity Tool Rod,,1,142338300664.66556,142094958410.35452,243342254.31104228,1506,800 6656,48305 48304,"tconstruct:tool_rod:0:{Material:""infinity_metal""}"
Wide Guard,,1,142338300664.66556,142094958410.35452,243342254.31104228,1506,384 6720,48333 48332,"tconstruct:wide_guard:0:{Material:""infinity_metal""}"
Infinity Binding,,1,142338300664.66556,142094958410.35452,243342254.31104228,1506,4128 5184,48309 48308,"tconstruct:binding:0:{Material:""infinity_metal""}"
Infinity Hand Guard,,1,142338300664.66556,142094958410.35452,243342254.31104228,1506,992 5696,48335 48334,"tconstruct:hand_guard:0:{Material:""infinity_metal""}"
Infinity Cross Guard,,1,142338300664.66556,142094958410.35452,243342254.31104228,1506,1696 5408,48337 48336,"tconstruct:cross_guard:0:{Material:""infinity_metal""}"
Infinity Knife Blade,,1,142338300664.66556,142094958410.35452,243342254.31104228,1506,576 5856,48349 48348,"tconstruct:knife_blade:0:{Material:""infinity_metal""}"
Infinity Armor Trim,,1,142338300664.66556,142094958410.35452,243342254.31104228,1506,8032 1504,48355 48354,"conarm:armor_trim:0:{Material:""infinity_metal""}"
Infinity Chisel Head,,1,142338300662.66556,142094958410.35452,243342252.31104228,1504,4960 4896,48367 48366,"tcomplement:chisel_head:0:{Material:""infinity_metal""}"
Decuple Compressed Ender Gravel,,1,142179584676.31232,142179540025.65823,44650.654082445675,51,32 64,93888,additionalcompression:gravelend_compressed:9
Decuple Compressed End Stone,,1,141404743253.8311,141404699047.65823,44206.1728607253,47,7328 32,93669,additionalcompression:endstone_compressed:9
Infinity Block,,1,140244689889.68137,140001634459.76068,243055429.9206849,1489,6944 864,87486 57592,avaritia:block_resource:1
Decuple Compressed Netherrack,,1,111374040303.0284,111374013792.20386,26510.82454457852,89,1440 64,93633,additionalcompression:netherrack_compressed:9
Enormous Potato,,1,104554466194.88017,104554300245.11035,165949.76982819368,75,5888 1152,83525,botania_tweaks:compressed_tiny_potato_6:0
Nonuple Compressed Gravel,,1,84215826380.80933,84215826318.80933,62,10,7904 32,93551 93552,additionalcompression:gravel_compressed:8
Creative Block Exchanger,,1,78624578457.94609,78024725670.43018,599852787.5159106,2046,960 1856,22788,draconicevolution:creative_exchanger:0
Creative ME Storage Cell,,1,73743637717.97438,73143799062.83736,599838655.1370211,2039,5568 224,22789,appliedenergistics2:creative_storage_cell:0
Fusewood Shard,,1,71290821594.32277,71047479342.01173,243342252.31104228,1504,3680 6368,48303 48302 48372,"tconstruct:shard:0:{Material:""infinity_metal""}"
Creative Vending Upgrade,,1,67610714194.76517,67010875553.62814,599838641.1370211,2025,2272 4832,22792,storagedrawers:upgrade_creative:1
Nonuple Compressed Dirt,,1,60825822705.37306,60825822643.37306,62,10,6336 32,93579 93580,additionalcompression:dirt_compressed:8
Octuple Compressed Soul Sand,,1,53129492652.83124,53129491614.25698,1038.5742592592592,11,1888 64,93647 93648,additionalcompression:soulsand_compressed:7
Octuple Compressed Dust,,1,53096141308.31246,53096010831.25698,130477.05548097963,13,6592 32,93848 93849,additionalcompression:dust_compressed:7
Octuple Compressed Sand,,1,53086444954.25698,53086444893.25698,61,9,4448 32,93565 93566,additionalcompression:blocksand_compressed:7
Nonuple Compressed Clay,,1,51927032780.05242,51927032745.478165,34.574259259259264,11,5024 32,93598 93601,additionalcompression:clay_compressed:8
Ultimate Essence,,1,34251391033.9312,797.1089470161857,34251390236.82225,1543,5216 3904,19672 5105,mysticalcreations:ultimate_essence:0
Octuple Compressed Nether Gravel,,1,18307633961.09566,18307582463.655087,51497.44057612881,45,256 64,93866 93867,additionalcompression:gravelnether_compressed:7
Infinity Ingot,,1,15798792591.005203,15555737162.084518,243055428.9206849,1488,7776 864,22793 12002 12126 48296 87482,avaritia:resource:6
Nonuple Compressed Ender Gravel,,1,15797771319.060555,15797726669.406471,44649.654082445675,50,0 64,93886 93887,additionalcompression:gravelend_compressed:8
Nonuple Compressed End Stone,,1,15711677432.579332,15711633227.406471,44205.1728607253,46,7296 32,93667 93668,additionalcompression:endstone_compressed:8
Nonuple Compressed Netherrack,,1,12374916931.069418,12374890421.244873,26509.82454457852,88,1408 64,93631 93632,additionalcompression:netherrack_compressed:8
Stellar Photovoltaic Cell,,1,11622939029.334759,11477873169.24692,145065860.08783898,1248,5312 1952,94304,enderio:block_solar_panel:6
Immense Potato,,1,11617310420.337646,11617144471.567818,165948.76982819368,74,5856 1152,83526,botania_tweaks:compressed_tiny_potato_5:0
Octuple Compressed Gravel,,1,9357314096.312147,9357314035.312147,61,9,7872 32,93549 93550,additionalcompression:gravel_compressed:7
Creative Wireless Crafting Terminal,,1,8971797396.479156,8681380028.980133,290417367.4990228,1702,5216 7296,96538,wct:wct_creative:0
Creative Energy Cube,§aStored energy: §7Infinite\n§9Capacity: §7Infinite,1,8971739096.566994,8681321741.06797,290417355.4990228,1690,7616 3456,14477,mekanism:energycube:0:{tier:4}
Creative Energy Cube,§aStored energy: §70.0 RF\n§9Capacity: §7Infinite,1,8971739096.566994,8681321741.06797,290417355.4990228,1690,7872 3456,14477,"mekanism:energycube:0:{tier:4,mekData:{}}"
Creative Energy Cube,§aStored energy: §7Infinite\n§9Capacity: §7Infinite,1,8971739094.566994,8681321740.06797,290417354.49902284,1689,7872 3456,22791 14477 96537,"mekanism:energycube:0:{tier:4,mekData:{energyStored:1.7976931348623157E308d}}"
Creative Flux Capacitor,Charge: 1.073G / 2.147G RF\n§r§o§6Can source or sink 1.073G RF/t,1,8351750512.472426,7802748380.193726,549002132.2787007,1725,2752 1856,14351,draconicevolution:draconium_capacitor:2
Creative Flux Capacitor,Charge: 1.073G / 2.147G RF\n§r§o§6Can source or sink 1.073G RF/t,1,8351750510.472426,7802748379.193726,549002131.2787008,1724,2752 1856,22790 14351,draconicevolution:draconium_capacitor:2:{Energy:1073741823}
Creative Fluid Tank,§9Capacity: §7Infinite\n§b#Tank,1,7658762197.570748,7364635323.892948,294126873.67780006,1721,3552 3488,22787 96536,mekanism:machineblock2:11:{tier:4}
The Ultimate Singularity,,1,7295585486.717954,7128378551.903034,167206934.81491914,1246,1024 2176,22781,extendedcrafting:singularity_ultimate:0
Ultimate Seeds,,1,7071523533.565349,6793905266.424974,277618267.1403741,1525,5248 3904,20522,mysticalcreations:ultimate_seeds:0
Octuple Compressed Dirt,,1,6758424799.041451,6758424738.041451,61,9,6304 32,93577 93578,additionalcompression:dirt_compressed:7
End Dilithium Ore,§5§o§8Chance: §b100,1,6698489464.059749,6697215075.7569275,1274388.3028213673,260,5504 3904,7219,netherendingores:ore_end_modded_1:14
Enderium Singularity,,1,6105332985.039118,6079564078.184492,25768906.85462604,834,512 2176,6910,extendedcrafting:singularity:50
Septuple Compressed Soul Sand,,1,5903277883.491701,5903276845.917442,1037.5742592592592,10,1856 64,93645 93646,additionalcompression:soulsand_compressed:6
Septuple Compressed Dust,,1,5899687234.972923,5899556758.917442,130476.05548097963,12,6560 32,93846 93847,additionalcompression:dust_compressed:6
Septuple Compressed Sand,,1,5898493936.917442,5898493876.917442,60,8,4416 32,93563 93564,additionalcompression:blocksand_compressed:6
Octuple Compressed Clay,,1,5769670338.516277,5769670304.9420185,33.574259259259264,10,4992 32,93596 93599,additionalcompression:clay_compressed:7
Nether Silver Ore,,1,5693198273.762973,5692638783.515451,559490.247521403,208,6784 3904,7218,netherendingores:ore_nether_modded_1:7
Decuple Compressed Stone,,1,3953597407.2996244,3922632953,30964454.299624372,488,2368 64,22894 93536,additionalcompression:stone_compressed:9
Decuple Compressed Cobblestone,,1,3923132512,3922632451,500061,11,5184 32,93517,additionalcompression:cobblestone_compressed:9
Decuple Compressed Mossy Cobblestone,,1,3923132512,3922632451,500061,11,5504 32,93620,additionalcompression:cobblestonemossy_compressed:9
Advanced Gas Tank,§9Capacity: §7Infinite,1,2409544091.141677,2116284296.8716328,293259794.27004427,1632,352 3488,22786 96534,mekanism:gastank:0:{tier:4}
Creative Modifier,,1,2328258417.269047,2298872616.753064,29385800.515982546,972,5184 6048,10071,tconstruct:materials:50
Plate of Unsealing,,1,2284984739.4550576,2283978527.1027775,1006212.352280329,201,4736 4992,98704,tconevo:material:2
Septuple Compressed Nether Gravel,,1,2034227325.6244745,2034175829.1838984,51496.44057612881,44,224 64,93864 93865,additionalcompression:gravelnether_compressed:6
Creative Gas Tank Frame,,1,1806477220.2347486,1792171102.8851137,14306117.349634994,898,,96535 1,"simple_trophies:trophy:0:{TrophyVariant:""gold"",TrophyColorGreen:118,TrophyItem:{id:""mekanism:machineblock2"",Count:1b,Damage:11s},TrophyColorBlue:151,TrophyName:""Creative Fluid Tank Frame"",TrophyColorRed:40}"
Octuple Compressed Ender Gravel,,1,1755347611.810357,1755302963.1562746,44648.654082445675,49,8160 32,93884 93885,additionalcompression:gravelend_compressed:7
Octuple Compressed End Stone,,1,1745781229.3291352,1745737025.1562746,44204.1728607253,45,7264 32,93665 93666,additionalcompression:endstone_compressed:7
Solar Array Controller Tier 6,,1,1574931097.12739,1301651374.4653327,273279722.6620573,1543,1920 2080,22804,environmentaltech:solar_cont_6:0
Melodic Photovoltaic Cell,,1,1519050813.6258767,1430729388.3901253,88321425.23575145,1130,5280 1952,94303,enderio:block_solar_panel:5
Octuple Compressed Netherrack,,1,1375014333.2961972,1374987824.4716525,26508.82454457852,87,1376 64,93629 93630,additionalcompression:netherrack_compressed:7
Jumbo Potato,,1,1290959777.832919,1290793830.0630908,165947.76982819368,73,5824 1152,83527,botania_tweaks:compressed_tiny_potato_4:0
Chaotic Arcane Focus,,1,1278480482.2534983,1221989706.501942,56490775.751556434,1040,7072 4992,49205 49204,"tconevo:part_arcane_focus:0:{Material:""chaotic_metal""}"
Chaotic Metal Block,,1,1278033959.6982522,1221989418.7775486,56044540.920703664,1033,6272 4992,89872 57599,tconevo:metal_block:2
Chaotic Excavator Head,,1,1142703873.2227843,1086213097.471228,56490775.751556434,1040,1376 5536,49157 49156,"tconstruct:excavator_head:0:{Material:""chaotic_metal""}"
Chaotic Broad Axe Head,,1,1142703873.2227843,1086213097.471228,56490775.751556434,1040,6048 5248,49161 49160,"tconstruct:broad_axe_head:0:{Material:""chaotic_metal""}"
Chaotic Scythe Head,,1,1142703873.2227843,1086213097.471228,56490775.751556434,1040,4000 6336,49163 49162,"tconstruct:scythe_head:0:{Material:""chaotic_metal""}"
Chaotic Large Sword Blade,,1,1142703873.2227843,1086213097.471228,56490775.751556434,1040,1728 5888,49177 49176,"tconstruct:large_sword_blade:0:{Material:""chaotic_metal""}"
Chaotic Large Plate,,1,1142703871.2227843,1086213097.471228,56490773.751556434,1038,4608 5856,49155 49154,"tconstruct:large_plate:0:{Material:""chaotic_metal""}"
Chaotic Hammer Head,,1,1142703871.2227843,1086213097.471228,56490773.751556434,1038,2688 5664,49153 49152,"tconstruct:hammer_head:0:{Material:""chaotic_metal""}"
Block of The Ultimate,,1,1039876110.0578976,824630547.1109924,215245562.94690508,1424,1184 2176,88555 22783,extendedcrafting:storage:4
Septuple Compressed Gravel,,1,1039701619.3680164,1039701559.3680164,60,8,7840 32,93547 93548,additionalcompression:gravel_compressed:6
The Ultimate Catalyst,,1,948621108.2726445,733375544.3257395,215245563.94690502,1425,7136 2144,88539,extendedcrafting:material:13
UU-Matter,,1,880331832.8809228,880001001,330831.88092276215,102,2432 3168,932,ic2:uu_matter:0
Chaotic Chestplate Core,,1,871150667.2722179,814659891.5206615,56490775.751556434,1040,3264 1600,49191 49190,"conarm:chest_core:0:{Material:""chaotic_metal""}"
Creative Essence,§oThe essence of infinite creativity.,1,793639057.2851939,506360502.649508,287278554.6356859,1041,3008 3872,10070,mysticalagradditions:stuff:69
Septuple Compressed Dirt,,1,750936141.8934946,750936081.8934946,60,8,6272 32,93575 93576,additionalcompression:dirt_compressed:6
Chaotic Leggings Core,,1,735374064.2969347,678883288.5453783,56490775.751556434,1040,2272 1760,49193 49192,"conarm:leggings_core:0:{Material:""chaotic_metal""}"
Perfect Fuel,,1,670479778.6905485,663434226.8653032,7045551.825245376,742,,1098,contenttweaker:perfect_fuel:0
Sextuple Compressed Soul Sand,,1,655920686.0095307,655919649.4352714,1036.5742592592592,9,1824 64,93643 93644,additionalcompression:soulsand_compressed:5
Sextuple Compressed Dust,,1,655506781.4907523,655506306.4352714,475.05548097963685,11,6528 32,93844 93845,additionalcompression:dust_compressed:5
Sextuple Compressed Sand,,1,655388267.4352714,655388208.4352714,59,7,4384 32,93561 93562,additionalcompression:blocksand_compressed:5
Septuple Compressed Clay,,1,641074510.7900391,641074478.2157798,32.574259259259264,9,4960 32,93594 93597,additionalcompression:clay_compressed:6
Stellar Chestplate,,1,606471089.0154432,492812855.1025437,113658233.9128995,1116,4512 2016,97270,enderio:item_stellar_alloy_chestplate:0
Stellar Chestplate,§5Vis discount: 3%\n§3Pocket Anvil\n§3Apiarist's Shirt\n§3Empowered V\n§3Glider\n§3Inventory III\n§3Thaumaturge's Robe,1,606471089.0154432,492812855.1025437,113658233.9128995,1116,4512 2016,97270,"enderio:item_stellar_alloy_chestplate:0:{enderio.darksteel.upgrade.energyUpgrade:{level:4,energy:2500000},enderio.darksteel.upgrade.anvil:{level:2},enderio.darksteel.upgrade.apiarist_armor_chest:{level:0},enderio.darksteel.upgrade.inv:{level:2},enderio.darksteel.upgrade.thaumaturge_robes_chest:{level:0},enderio.darksteel.upgrade.glide:{level:0}}"
Stellar Chestplate,§5Vis discount: 3%\n§3Pocket Anvil\n§3Apiarist's Shirt\n§3Elytra\n§3Empowered V\n§3Inventory III\n§3Thaumaturge's Robe,1,606471089.0154432,492812855.1025437,113658233.9128995,1116,4512 2016,97270,"enderio:item_stellar_alloy_chestplate:0:{enderio.darksteel.upgrade.energyUpgrade:{level:4,energy:2500000},enderio.darksteel.upgrade.anvil:{level:2},enderio.darksteel.upgrade.apiarist_armor_chest:{level:0},enderio.darksteel.upgrade.inv:{level:2},enderio.darksteel.upgrade.thaumaturge_robes_chest:{level:0},enderio.darksteel.upgrade.elytra:{level:0}}"
Chaotic Pipe Piece,,1,599597461.3216516,543106685.5700952,56490775.751556434,1040,608 4320,49199 49198,"plustic:pipe_piece:0:{Material:""chaotic_metal""}"
Chaotic Boots Core,,1,599597461.3216516,543106685.5700952,56490775.751556434,1040,5440 1568,49195 49194,"conarm:boots_core:0:{Material:""chaotic_metal""}"
Chaotic Helmet Core,,1,599597461.3216516,543106685.5700952,56490775.751556434,1040,3360 1696,49185 49184,"conarm:helmet_core:0:{Material:""chaotic_metal""}"
Chaotic Metal Gear,,1,599150949.8218364,543106408.9011327,56044540.92070367,1033,4960 4992,6797 12202 49121,tconevo:metal:14
Molten Stellar Alloy,,1,573820679.8340211,488781444.73650783,85039235.09751332,1079,,1230,enderio:block_fluid_stellar_alloy:0
UU-Metal Arcane Focus,,1,571969590.3845866,570987325.0599235,982265.3246630298,149,6688 4992,49705 49704,"tconevo:part_arcane_focus:0:{Material:""universal_metal""}"
UU-Metal Block,,1,571869348.8562539,570987046.3355302,882302.5207236574,134,6464 4992,57604 89866,tconevo:metal_block:8
Creative CAD Assembly,,1,537531721.3346202,343198487.2131436,194333234.12147665,1368,5184 4320,22805,psi:cad_assembly:5
Stellar Leggings,,1,536086558.1247638,422428327.2118643,113658230.9128995,1113,4672 2016,97271,enderio:item_stellar_alloy_leggings:0
Stellar Leggings,§5Vis discount: 3%\n§3Pocket Anvil\n§3Apiarist's Pants\n§3Empowered V\n§3Inventory III\n§3Speed III\n§3Thaumaturge's Leggings,1,536086558.1247638,422428327.2118643,113658230.9128995,1113,4672 2016,97271,"enderio:item_stellar_alloy_leggings:0:{enderio.darksteel.upgrade.energyUpgrade:{level:4,energy:2500000},enderio.darksteel.upgrade.anvil:{level:2},enderio.darksteel.upgrade.apiarist_armor_legs:{level:0},enderio.darksteel.upgrade.inv:{level:2},enderio.darksteel.upgrade.speedBoost:{level:3},enderio.darksteel.upgrade.thaumaturge_robes_legs:{level:0}}"
Parched Comb Block,,1,521057895.5785831,521057840.5785831,55,3,5632 2400,93429,forestry:bee_combs_0:7
UU-Metal Hammer Head,,1,508526579.29187465,507544313.9672116,982265.3246630298,149,1024 5664,49653 49652,"tconstruct:hammer_head:0:{Material:""universal_metal""}"
UU-Metal Excavator Head,,1,508526579.29187465,507544313.9672116,982265.3246630298,149,7904 5504,49657 49656,"tconstruct:excavator_head:0:{Material:""universal_metal""}"
UU-Metal Broad Axe Head,,1,508526579.29187465,507544313.9672116,982265.3246630298,149,4384 5248,49661 49660,"tconstruct:broad_axe_head:0:{Material:""universal_metal""}"
UU-Metal Scythe Head,,1,508526579.29187465,507544313.9672116,982265.3246630298,149,2336 6336,49663 49662,"tconstruct:scythe_head:0:{Material:""universal_metal""}"
UU-Metal Large Sword Blade,,1,508526579.29187465,507544313.9672116,982265.3246630298,149,64 5888,49677 49676,"tconstruct:large_sword_blade:0:{Material:""universal_metal""}"
UU-Metal Large Plate,,1,508526577.29187465,507544313.9672116,982263.3246630298,147,2944 5856,49655 49654,"tconstruct:large_plate:0:{Material:""universal_metal""}"
Liquid Nitrogen,,1,480492147.865263,476930185.60777503,3561962.2574879765,246,,982,nuclearcraft:fluid_liquid_nitrogen:0
ME 16384k Storage Cell,0 of 16777216 item bytes used.\n0 of 63 item types used.,1,476205878.69078416,474649826.2871845,1556052.403599683,416,1536 192,97429 96705,"aeadditions:storage.physical:3:{upgrades:{},config:{},fuzzyMode:""IGNORE_ALL""}"
ME 16384k Storage Cell,0 of 16777216 item bytes used.\n0 of 63 item types used.,1,476205878.69078416,474649826.2871845,1556052.403599683,416,1536 192,97429 96705,aeadditions:storage.physical:3
16384k ME Storage Component,,1,475961565.5983386,474432426.01030153,1529139.5880370818,399,768 192,97440,aeadditions:storage.component:3
Molten Melodic Alloy,,1,473610981.35107917,441619152.4019857,31991828.949093465,576,,1026,enderio:block_fluid_melodic_alloy:0
Nonuple Compressed Stone,,1,466813005.2996244,435848552,30964453.299624372,487,2336 64,22893 93534 93537,additionalcompression:stone_compressed:8
Tough Tool Rod,,1,463820858.3463685,407330082.59481204,56490775.751556434,1040,2112 6688,49151 49150,"tconstruct:tough_tool_rod:0:{Material:""chaotic_metal""}"
Chaotic Tough Binding,,1,463820858.3463685,407330082.59481204,56490775.751556434,1040,5056 6656,49159 49158,"tconstruct:tough_binding:0:{Material:""chaotic_metal""}"
Chaotic Pan,,1,463820858.3463685,407330082.59481204,56490775.751556434,1040,6592 6112,49173 49172,"tconstruct:pan_head:0:{Material:""chaotic_metal""}"
Chaotic Sign Plate,,1,463820858.3463685,407330082.59481204,56490775.751556434,1040,2912 6592,49175 49174,"tconstruct:sign_head:0:{Material:""chaotic_metal""}"
Chaotic Bowlimb,,1,463820858.3463685,407330082.59481204,56490775.751556434,1040,448 5248,49179 49178,"tconstruct:bow_limb:0:{Material:""chaotic_metal""}"
Chaotic Armor Plates,,1,463820858.3463685,407330082.59481204,56490775.751556434,1040,448 1504,49187 49186,"conarm:armor_plate:0:{Material:""chaotic_metal""}"
Nonuple Compressed Cobblestone,,1,436348110,435848050,500060,10,5152 32,93515 93516,additionalcompression:cobblestone_compressed:8
