display,tooltips,purity,complexity,cost,processing,steps,imgsrc,labels,recipeIndexes,depIndexes,id
Sunflower,,0,Infinity,Infinity,Infinity,,1072 1024,,,,minecraft:double_plant:*
Emerald Ore,,0,Infinity,Infinity,Infinity,,1488 1024,,,,minecraft:emerald_ore:*
Oak Fence,,0,Infinity,Infinity,Infinity,,3136 720,,,,minecraft:fence:*
Glass Pane,,0,Infinity,Infinity,Infinity,,3040 1040,,,,minecraft:glass_pane:*
Gold Ore,,0,Infinity,Infinity,Infinity,,3392 1040,,,,minecraft:gold_ore:*
Terracotta,,0,Infinity,Infinity,Infinity,,3584 1040,,,,minecraft:hardened_clay:*
Ice,,0,Infinity,Infinity,Infinity,,2240 880,,,,minecraft:ice:*
Iron Ore,,0,Infinity,Infinity,Infinity,,3808 1040,,,,minecraft:iron_ore:*
Jungle Fence,,0,Infinity,Infinity,Infinity,,3184 720,,,,minecraft:jungle_fence:*
Lapis Lazuli Ore,,0,Infinity,Infinity,Infinity,,4032 1040,,,,minecraft:lapis_ore:*
Cobblestone Monster Egg,,0,Infinity,Infinity,Infinity,,3904 1008,,,12116 13340,minecraft:monster_egg:1
Moss Stone,,0,Infinity,Infinity,Infinity,,2080 1056,,,,minecraft:mossy_cobblestone:*
Netherrack,,0,Infinity,Infinity,Infinity,,2192 1056,,,,minecraft:netherrack:*
Oak Wood Stairs,,0,Infinity,Infinity,Infinity,,1488 752,,,,minecraft:oak_stairs:*
Piston,,0,Infinity,Infinity,Infinity,,2448 1056,,,,minecraft:piston:*
Red Sandstone,,0,Infinity,Infinity,Infinity,,928 1072,,,,minecraft:red_sandstone:*
Redstone Ore,,0,Infinity,Infinity,Infinity,,672 1072,,,,minecraft:redstone_ore:*
Sandstone,,0,Infinity,Infinity,Infinity,,1200 1072,,,,minecraft:sandstone:*
Sandstone Stairs,,0,Infinity,Infinity,Infinity,,1184 1072,,,,minecraft:sandstone_stairs:*
Green Slime Block,,0,Infinity,Infinity,Infinity,,1568 1072,,,,minecraft:slime:*
Snow,,0,Infinity,Infinity,Infinity,,1600 1072,,,,minecraft:snow_layer:*
Spruce Fence,,0,Infinity,Infinity,Infinity,,3152 720,,,,minecraft:spruce_fence:*
Spruce Wood Stairs,,0,Infinity,Infinity,Infinity,,1504 752,,,,minecraft:spruce_stairs:*
White Stained Glass Pane,,0,Infinity,Infinity,Infinity,,3120 1088,,,,minecraft:stained_glass_pane:*
White Terracotta,,0,Infinity,Infinity,Infinity,,3632 1088,,,,minecraft:stained_hardened_clay:*
Stone Brick Stairs,,0,Infinity,Infinity,Infinity,,3952 1088,,,,minecraft:stone_brick_stairs:*
Stone Slab,,0,Infinity,Infinity,Infinity,,4064 1088,,,,minecraft:stone_slab:*
Cobblestone Stairs,,0,Infinity,Infinity,Infinity,,80 1104,,,,minecraft:stone_stairs:*
Stone Bricks,,0,Infinity,Infinity,Infinity,,2048 1056,,,,minecraft:stonebrick:*
Oak Trapdoor,,0,Infinity,Infinity,Infinity,,1968 1104,,,,minecraft:trapdoor:*
Vines,,0,Infinity,Infinity,Infinity,,1984 1104,,,,minecraft:vine:*
Oak Door,,0,Infinity,Infinity,Infinity,,2240 1104,,,,minecraft:wooden_door:*
White Wool,,0,Infinity,Infinity,Infinity,,2272 1104,,,,minecraft:wool:*
Chorus Fruit,,0,Infinity,Infinity,Infinity,,3728 1008,,,,minecraft:chorus_fruit:*
Jungle Wood Stairs,,0,Infinity,Infinity,Infinity,,1456 752,,,,minecraft:jungle_stairs:*
Mycelium,,0,Infinity,Infinity,Infinity,,2144 1056,,,,minecraft:mycelium:*
Warding Aura,,0,Infinity,Infinity,Infinity,,2464 1008,,5789 5831 6476,5796 6476,minecraft:barrier:0
Spawn Slime,,0,Infinity,Infinity,Infinity,,2960 1072,,,6303 6304 6305 6306 6307 6308 6309 6310 6313 27746 29043,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:slime""}}"
Spawn Enderman,,0,Infinity,Infinity,Infinity,,3888 1072,,,6304 6887 27726 29045,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:enderman""}}"
Spawn Cockatrice,,0,Infinity,Infinity,Infinity,,2912 1072,,,6305 6463 7541 27709,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:if_cockatrice""}}"
Spawn Feral Wolf,,0,Infinity,Infinity,Infinity,,256 1088,,,6306 27646,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:feralwolf""}}"
Spawn Spider,,0,Infinity,Infinity,Infinity,,1024 1088,,,6314 27748 29041 29178,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:spider""}}"
Spawn Villager,,0,Infinity,Infinity,Infinity,,4032 1072,,,6316 6317 6318 6319 28992 29036 29147,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:villager""}}"
Spawn Timberwolf,,0,Infinity,Infinity,Infinity,,384 1088,,,6455 27686,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:timberwolf""}}"
Spawn Angry Chicken,,0,Infinity,Infinity,Infinity,,2464 1072,,,6457 7540 7549 27693,"minecraft:spawn_egg:0:{EntityTag:{id:""excompressum:angry_chicken""}}"
Spawn Frozen Skeleton,,0,Infinity,Infinity,Infinity,,1728 1072,,,6458 27683,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:skeleton_frozen""}}"
Spawn Robit,,0,Infinity,Infinity,Infinity,,2464 1072,,,6459,"minecraft:spawn_egg:0:{EntityTag:{id:""mekanism:robit""}}"
Spawn Watcher,,0,Infinity,Infinity,Infinity,,880 1088,,,6460 27692,"minecraft:spawn_egg:0:{EntityTag:{id:""endreborn:watcher""}}"
Spawn Hirschgeist,,0,Infinity,Infinity,Infinity,,80 1088,,,6461 27865,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:hirschgeist""}}"
Spawn Neo-Ratlantean,,0,Infinity,Infinity,Infinity,,3008 1072,,,6462 27780,"minecraft:spawn_egg:0:{EntityTag:{id:""rats:neo_ratlantean""}}"
Spawn Mini Me,,0,Infinity,Infinity,Infinity,,2464 1072,,,6464,"minecraft:spawn_egg:0:{EntityTag:{id:""openblocks:mini_me""}}"
Spawn Lammergeier,,0,Infinity,Infinity,Infinity,,752 1088,,,7526 7548 27651,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:lammergeier""}}"
Spawn Golden Chicken,,0,Infinity,Infinity,Infinity,,2464 1072,,,7527 7538 27774 29143,"minecraft:spawn_egg:0:{EntityTag:{id:""randomthings:goldenchicken""}}"
Spawn Wild Owl,,0,Infinity,Infinity,Infinity,,1872 1072,,,7528 7533,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:owl""}}"
Spawn Hippogryph,,0,Infinity,Infinity,Infinity,,2112 1072,,,7530 27707,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:hippogryph""}}"
Spawn Pheasant,,0,Infinity,Infinity,Infinity,,3584 1072,,,7531 7553 27655,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:pheasant""}}"
Spawn Goose,,0,Infinity,Infinity,Infinity,,3696 1072,,,7532 7534 7544 27649,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:goose""}}"
Spawn Turkey,,0,Infinity,Infinity,Infinity,,2336 1072,,,7535 7545 27660,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:turkey""}}"
Spawn Forest Raven,,0,Infinity,Infinity,Infinity,,4080 1072,,,7542 7543 27842,"minecraft:spawn_egg:0:{EntityTag:{id:""twilightforest:raven""}}"
Spawn Penguin,,0,Infinity,Infinity,Infinity,,3376 1072,,,7546 7547 27840,"minecraft:spawn_egg:0:{EntityTag:{id:""twilightforest:penguin""}}"
Spawn Tiny Bird,,0,Infinity,Infinity,Infinity,,336 1088,,,7550 7557 27851,"minecraft:spawn_egg:0:{EntityTag:{id:""twilightforest:tiny_bird""}}"
Spawn Songbird,,0,Infinity,Infinity,Infinity,,1856 1072,,,7551 7554 27658,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:songbird""}}"
Spawn Badger,,0,Infinity,Infinity,Infinity,,736 1088,,,27636,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:badger""}}"
Spawn Black Bear,,0,Infinity,Infinity,Infinity,,592 1088,,,27637,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:blackbear""}}"
Spawn Boar,,0,Infinity,Infinity,Infinity,,3152 1072,,,27638,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:boar""}}"
Spawn Grizzly Bear,,0,Infinity,Infinity,Infinity,,3056 1072,,,27640,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:brownbear""}}"
Spawn Coyote,,0,Infinity,Infinity,Infinity,,3280 1072,,,27641,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:coyote""}}"
Spawn Crab,,0,Infinity,Infinity,Infinity,,64 1088,,,27642,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:crab""}}"
Spawn Deer,,0,Infinity,Infinity,Infinity,,656 1088,,,27643,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:deer""}}"
Spawn Freshwater Eel,,0,Infinity,Infinity,Infinity,,3536 1072,,,27644,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:eel_freshwater""}}"
Spawn Saltwater Eel,,0,Infinity,Infinity,Infinity,,2064 1072,,,27645,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:eel_saltwater""}}"
Spawn Fox,,0,Infinity,Infinity,Infinity,,224 1088,,,27647,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:fox""}}"
Spawn Goat,,0,Infinity,Infinity,Infinity,,3344 1072,,,27648,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:goat""}}"
Spawn Lamprey,,0,Infinity,Infinity,Infinity,,2640 1072,,,27652,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:lamprey""}}"
Spawn Moose,,0,Infinity,Infinity,Infinity,,1232 1088,,,27653,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:moose""}}"
Spawn Nautilus,,0,Infinity,Infinity,Infinity,,144 1088,,,27654,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:nautilus""}}"
Spawn Reindeer,,0,Infinity,Infinity,Infinity,,2656 1072,,,27656,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:reindeer""}}"
Spawn Shark,,0,Infinity,Infinity,Infinity,,976 1088,,,27657,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:shark""}}"
Spawn Tarantula,,0,Infinity,Infinity,Infinity,,1312 1088,,,27659,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:tarantula""}}"
Spawn Whale,,0,Infinity,Infinity,Infinity,,3600 1072,,,27662,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:whale""}}"
Spawn Zotzpyre,,0,Infinity,Infinity,Infinity,,2944 1072,,,27663,"minecraft:spawn_egg:0:{EntityTag:{id:""betteranimalsplus:zotzpyre""}}"
Spawn Nether Wasp,,0,Infinity,Infinity,Infinity,,368 1088,,,27664,"minecraft:spawn_egg:0:{EntityTag:{id:""biomesoplenty:wasp""}}"
Spawn Pink Wither,,0,Infinity,Infinity,Infinity,,2464 1072,,,27665,"minecraft:spawn_egg:0:{EntityTag:{id:""botania:pink_wither""}}"
Spawn System Glitch,,0,Infinity,Infinity,Infinity,,1360 1088,,,27666,"minecraft:spawn_egg:0:{EntityTag:{id:""deepmoblearning:glitch""}}"
Spawn Trial Cave Spider,,0,Infinity,Infinity,Infinity,,2464 1072,,,27667,"minecraft:spawn_egg:0:{EntityTag:{id:""deepmoblearning:trial_cave_spider""}}"
Spawn Trial Enderman,,0,Infinity,Infinity,Infinity,,2464 1072,,,27668,"minecraft:spawn_egg:0:{EntityTag:{id:""deepmoblearning:trial_enderman""}}"
Spawn Trial Slime,,0,Infinity,Infinity,Infinity,,2464 1072,,,27669,"minecraft:spawn_egg:0:{EntityTag:{id:""deepmoblearning:trial_slime""}}"
Spawn Trial Spider,,0,Infinity,Infinity,Infinity,,2464 1072,,,27670,"minecraft:spawn_egg:0:{EntityTag:{id:""deepmoblearning:trial_spider""}}"
Spawn Cursed Creeper,,0,Infinity,Infinity,Infinity,,1280 1088,,,27671,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:creeper""}}"
Spawn Dire Wolf,,0,Infinity,Infinity,Infinity,,2928 1072,,,27672,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:dire_wolf""}}"
Spawn Rainbow Fairy ,,0,Infinity,Infinity,Infinity,,2528 1072,,,27674,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:fairies""}}"
Spawn Fallen Mount,,0,Infinity,Infinity,Infinity,,2352 1072,,,27675,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:fallenmount""}}"
Spawn Rainbow Slime,,0,Infinity,Infinity,Infinity,,528 1088,,,27679,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:rainbowslime""}}"
Spawn Sprite,,0,Infinity,Infinity,Infinity,,3136 1072,,,27680,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:rootsonesprite""}}"
Spawn Greater Sprite,,0,Infinity,Infinity,Infinity,,3136 1072,,,27681,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:rootsonespritegreater""}}"
Spawn Spriteling,,0,Infinity,Infinity,Infinity,,3136 1072,,,27682,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:rootsonespriteling""}}"
Spawn Block Slime,,0,Infinity,Infinity,Infinity,,832 1088,,,27684,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:slime""}}"
Spawn Rainbow Sprout,,0,Infinity,Infinity,Infinity,,3504 1072,,,27685,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:sprouts""}}"
Spawn Toxic Witch,,0,Infinity,Infinity,Infinity,,2832 1072,,,27688,"minecraft:spawn_egg:0:{EntityTag:{id:""emberroot:witherwitch""}}"
Spawn Chronologist,,0,Infinity,Infinity,Infinity,,448 1088,,,27689,"minecraft:spawn_egg:0:{EntityTag:{id:""endreborn:chronologist""}}"
Spawn End-Mage Barclay,,0,Infinity,Infinity,Infinity,,4000 1072,,,27691,"minecraft:spawn_egg:0:{EntityTag:{id:""endreborn:endlord""}}"
Spawn Cyclops,,0,Infinity,Infinity,Infinity,,2272 1072,,,27695,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:cyclops""}}"
Spawn Death Worm,,0,Infinity,Infinity,Infinity,,1824 1072,,,27696,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:deathworm""}}"
Spawn Dread Beast,,0,Infinity,Infinity,Infinity,,944 1088,,,27697,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:dread_beast""}}"
Spawn Dread Ghoul,,0,Infinity,Infinity,Infinity,,640 1088,,,27698,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:dread_ghoul""}}"
Spawn Dread Knight Horse,,0,Infinity,Infinity,Infinity,,16 1088,,,27699,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:dread_horse""}}"
Spawn Dread Knight,,0,Infinity,Infinity,Infinity,,3728 1072,,,27700,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:dread_knight""}}"
Spawn Dread Scuttler,,0,Infinity,Infinity,Infinity,,3712 1072,,,27702,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:dread_scuttler""}}"
Spawn Dread Thrall,,0,Infinity,Infinity,Infinity,,2016 1072,,,27703,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:dread_thrall""}}"
Spawn Fire Dragon,,0,Infinity,Infinity,Infinity,,3264 1072,,,27704,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:firedragon""}}"
Spawn Gorgon,,0,Infinity,Infinity,Infinity,,800 1088,,,27705,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:gorgon""}}"
Spawn Ice Dragon,,0,Infinity,Infinity,Infinity,,1776 1072,,,27708,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:icedragon""}}"
Spawn Pixie,,0,Infinity,Infinity,Infinity,,2000 1072,,,27710,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:if_pixie""}}"
Spawn Myrmex Egg,,0,Infinity,Infinity,Infinity,,2464 1072,,,27712,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:myrmex_egg""}}"
Spawn Siren,,0,Infinity,Infinity,Infinity,,2608 1072,,,27714,"minecraft:spawn_egg:0:{EntityTag:{id:""iceandfire:siren""}}"
Spawn Pink Slime,,0,Infinity,Infinity,Infinity,,3200 1072,,,27716,"minecraft:spawn_egg:0:{EntityTag:{id:""industrialforegoing:pink_slime""}}"
Spawn Baby Skeleton,,0,Infinity,Infinity,Infinity,,3568 1072,,,27717,"minecraft:spawn_egg:0:{EntityTag:{id:""mekanism:babyskeleton""}}"
Spawn Blaze,,0,Infinity,Infinity,Infinity,,3232 1072,,,27719 29039 29175,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:blaze""}}"
Spawn Cave Spider,,0,Infinity,Infinity,Infinity,,2752 1072,,,27720 29042 29176,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:cave_spider""}}"
Spawn Elder Guardian,,0,Infinity,Infinity,Infinity,,1904 1072,,,27725 29063,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:elder_guardian""}}"
Spawn Endermite,,0,Infinity,Infinity,Infinity,,3168 1072,,,27727 29052,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:endermite""}}"
Spawn Evoker,,0,Infinity,Infinity,Infinity,,2240 1072,,,27728 29068,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:evocation_illager""}}"
Spawn Ghast,,0,Infinity,Infinity,Infinity,,48 1088,,,27729 29044,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:ghast""}}"
Spawn Guardian,,0,Infinity,Infinity,Infinity,,2720 1072,,,27730 29053,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:guardian""}}"
Spawn Husk,,0,Infinity,Infinity,Infinity,,3616 1072,,,27732 29066,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:husk""}}"
Spawn Illusioner,,0,Infinity,Infinity,Infinity,,2464 1072,,,27733,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:illusion_illager""}}"
Spawn Magma Cube,,0,Infinity,Infinity,Infinity,,2304 1072,,,27735 29046,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:magma_cube""}}"
Spawn Shulker,,0,Infinity,Infinity,Infinity,,176 1088,,,27743 29056,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:shulker""}}"
Spawn Skeleton Horse,,0,Infinity,Infinity,Infinity,,816 1088,,,27744 29058,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:skeleton_horse""}}"
Spawn Stray,,0,Infinity,Infinity,Infinity,,1808 1072,,,27750 29065,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:stray""}}"
Spawn Vex,,0,Infinity,Infinity,Infinity,,2896 1072,,,27751 29069,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:vex""}}"
Spawn Iron Golem,,0,Infinity,Infinity,Infinity,,2464 1072,,,27752 29049,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:villager_golem""}}"
Spawn Vindicator,,0,Infinity,Infinity,Infinity,,0 1088,,,27753 29070,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:vindication_illager""}}"
Spawn Witch,,0,Infinity,Infinity,Infinity,,3456 1072,,,27754 29035 29173,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:witch""}}"
Spawn Wither Skeleton,,0,Infinity,Infinity,Infinity,,2976 1072,,,27755 29064,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:wither_skeleton""}}"
Spawn Wither,,0,Infinity,Infinity,Infinity,,2464 1072,,,27756,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:wither""}}"
Spawn Zombie Horse,,0,Infinity,Infinity,Infinity,,1008 1088,,,27758 29059,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:zombie_horse""}}"
Spawn Zombie Pigman,,0,Infinity,Infinity,Infinity,,1920 1072,,,27759 29032 29177,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:zombie_pigman""}}"
Spawn Zombie Villager,,0,Infinity,Infinity,Infinity,,400 1088,,,27760 29067 29160,"minecraft:spawn_egg:0:{EntityTag:{id:""minecraft:zombie_villager""}}"
Spawn Netherfish,,0,Infinity,Infinity,Infinity,,1712 1072,,,27762,"minecraft:spawn_egg:0:{EntityTag:{id:""netherendingores:netherfish""}}"
Spawn Blind Bandit,,0,Infinity,Infinity,Infinity,,4064 1072,,,27763,"minecraft:spawn_egg:0:{EntityTag:{id:""plustic:blindbandit""}}"
Spawn Archaeologist,,0,Infinity,Infinity,Infinity,,1792 1072,,,27765,"minecraft:spawn_egg:0:{EntityTag:{id:""quark:archaeologist""}}"
Spawn Ashen,,0,Infinity,Infinity,Infinity,,1328 1088,,,27766,"minecraft:spawn_egg:0:{EntityTag:{id:""quark:ashen""}}"
Spawn Dweller,,0,Infinity,Infinity,Infinity,,2624 1072,,,27768,"minecraft:spawn_egg:0:{EntityTag:{id:""quark:dweller""}}"
Spawn Foxhound,,0,Infinity,Infinity,Infinity,,1168 1088,,,27769,"minecraft:spawn_egg:0:{EntityTag:{id:""quark:foxhound""}}"
Spawn Stoneling,,0,Infinity,Infinity,Infinity,,3920 1072,,,27772,"minecraft:spawn_egg:0:{EntityTag:{id:""quark:stoneling""}}"
Spawn Wraith,,0,Infinity,Infinity,Infinity,,4016 1072,,,27773,"minecraft:spawn_egg:0:{EntityTag:{id:""quark:wraith""}}"
Spawn Spirit,,0,Infinity,Infinity,Infinity,,1760 1072,,,27775,"minecraft:spawn_egg:0:{EntityTag:{id:""randomthings:spirit""}}"
Spawn Black Death,,0,Infinity,Infinity,Infinity,,2688 1072,,,27776 29149,"minecraft:spawn_egg:0:{EntityTag:{id:""rats:black_death""}}"
Spawn Feral Ratlantean,,0,Infinity,Infinity,Infinity,,3808 1072,,,27777 29150,"minecraft:spawn_egg:0:{EntityTag:{id:""rats:feral_ratlantean""}}"
Spawn Pirat,,0,Infinity,Infinity,Infinity,,2496 1072,,,27781,"minecraft:spawn_egg:0:{EntityTag:{id:""rats:pirat""}}"
Spawn Plague Beast,,0,Infinity,Infinity,Infinity,,1888 1072,,,27782,"minecraft:spawn_egg:0:{EntityTag:{id:""rats:plague_beast""}}"
Spawn Plague Cloud,,0,Infinity,Infinity,Infinity,,1680 1072,,,27783,"minecraft:spawn_egg:0:{EntityTag:{id:""rats:plague_cloud""}}"
Spawn Plague Doctor,,0,Infinity,Infinity,Infinity,,2512 1072,,,27784 29148,"minecraft:spawn_egg:0:{EntityTag:{id:""rats:plague_doctor""}}"
Spawn Ratlantean Spirit,,0,Infinity,Infinity,Infinity,,608 1088,,,27786,"minecraft:spawn_egg:0:{EntityTag:{id:""rats:ratlantean_spirit""}}"
Spawn Sky Slime,,0,Infinity,Infinity,Infinity,,560 1088,,,27787,"minecraft:spawn_egg:0:{EntityTag:{id:""tconstruct:blueslime""}}"
